site	PSI-MS_name	name	composition	priority
N-term	Delta:H(2)C(2)	Delta:H(2)C(2)	H(2) C(2)	0
N-term	Xlink:DTSSP[88]	Thioacyl	H(4) C(3) O S	0
N-term	null	LG-lactam-K	H(28) C(20) O(4)	0
N-term	null	LG-pyrrole	H(28) C(20) O(3)	0
N-term	Cytopiloyne	Cytopiloyne	H(22) C(19) O(7)	0
N-term	GG	GG	H(6) C(4) N(2) O(2)	0
N-term	Ethyl	Ethyl	H(4) C(2)	0
N-term	null	Xlink:DSS-NH2	H(13) C(8) N O(2)	0
N-term	null	Lys	H(12) C(6) N(2) O	0
N-term	null	ISD_z+2_ion	H(-1) N(-1)	0
N-term	null	Biotin:Thermo-33033-H	H(34) C(25) N(6) O(4) S(2)	0
N-term	null	Xlink:DSS	H(12) C(8) O(3)	0
N-term	Methylthio	Methylthio	H(2) C S	0
N-term	null	Iodoacetanilide:13C(6)	H(7) C(2) 13C(6) N O	0
N-term	Guanidinyl	Guanidinyl	H(2) C N(2)	0
N-term	null	Brij58	H(32) C(16)	0
N-term	Carbamidomethyl	Carbamidomethyl	H(3) C(2) N O	0
N-term	null	Xlink:EGS244	H(12) C(10) O(7)	0
N-term	Biotin	Biotin	H(14) C(10) N(2) O(2) S	0
N-term	null	BDMAPP	H(12) C(11) N O Br	0
N-term	Hex	Hex	Hex	0
N-term	NDA	NDA	H(5) C(13) N	0
N-term	Diethyl	Diethyl	H(8) C(4)	0
N-term	null	Biotin:Thermo-21330	H(35) C(21) N(3) O(7) S	0
N-term	Glucuronyl	Glucuronyl	HexA	0
N-term	SPITC	SPITC	H(5) C(7) N O(3) S(2)	0
N-term	null	LG-anhydrolactam	H(26) C(20) O(3)	0
N-term	null	Delta:H(6)C(3)O(1)	H(6) C(3) O	0
N-term	AccQTag	AccQTag	H(6) C(10) N(2) O	0
N-term	Delta:H(4)C(3)	Delta:H(4)C(3)	H(4) C(3)	0
N-term	null	LG-anhyropyrrole	H(26) C(20) O(2)	0
N-term	Phenylisocyanate:2H(5)	Phenylisocyanate:2H(5)	2H(5) C(7) N O	0
N-term	Carboxymethyl	Carboxymethyl	H(2) C(2) O(2)	0
N-term	null	LG-Hlactam-K	H(28) C(20) O(5)	0
N-term	Palmitoyl	Palmitoyl	H(30) C(16) O	0
N-term	null	Ethylphosphate	H(5) C(2) O(3) P	0
N-term	null	Xlink:DMP	H(10) C(7) N(2)	0
N-term	null	Delta:H(8)C(6)O(1)	H(8) C(6) O	0
N-term	AEBS	AEBS	H(9) C(8) N O(2) S	0
N-term	null	Biotin:Thermo-33033	H(36) C(25) N(6) O(4) S(2)	0
N-term	Succinyl	Succinyl	H(4) C(4) O(3)	0
N-term	CAF	CAF	H(4) C(3) O(4) S	0
N-term	null	Phosphogluconoylation	H(11) C(6) O(9) P	0
N-term	Sulfo-NHS-LC-LC-Biotin	Sulfo-NHS-LC-LC-Biotin	H(36) C(22) N(4) O(4) S	0
N-term	null	Xlink:DST	H(4) C(4) O(5)	0
N-term	null	BITC	H(7) C(8) N S	0
N-term	null	Arg	H(12) C(6) N(4) O	0
N-term	Carbamyl	Carbamyl	H C N O	0
N-term	Cytopiloyne+water	Cytopiloyne+water	H(24) C(19) O(8)	0
N-term	null	Xlink:DTSSP	H(8) C(6) O(3) S(2)	0
N-term	SPITC:13C(6)	SPITC:13C(6)	H(5) C 13C(6) N O(3) S(2)	0
N-term	Xlink:DMP[154]	Xlink:DMP-s	H(14) C(8) N(2) O	0
N-term	null	Galactosyl	O Hex	0
N-term	Delta:H(4)C(2)	Delta:H(4)C(2)	H(4) C(2)	0
N-term	Ethyl	Ethyl	H(4) C(2)	0
N-term	Xlink:DTBP[87]	Xlink:DTBPc	H(5) C(3) N S	0
N-term	Phenylisocyanate	Phenylisocyanate	H(5) C(7) N O	0
N-term	null	glycidamide	H(5) C(3) N O(2)	0
N-term	null	NP40	H(24) C(15) O	0
N-term	null	Diethylphosphate	H(9) C(4) O(3) P	0
N-term	null	PEITC	H(9) C(9) N S	0
N-term	null	TNBS	H C(6) N(3) O(6)	0
N-term	SMA	SMA	H(9) C(6) N O(2)	0
N-term	Amidine	Amidine	H(3) C(2) N	0
N-term	Iminobiotin	Iminobiotin	H(15) C(10) N(3) O S	0
N-term	null	Biotin:Thermo-21328	H(23) C(15) N(3) O(3) S(3)	0
N-term	Methyl	Methyl	H(2) C	1
N-term	FormylMet	FormylMet	H(9) C(6) N O(2) S	0
N-term	Formyl	Formyl	C O	0
N-term	Acetyl	Acetyl	H(2) C(2) O	1
N-term	Dansyl	Dansyl	H(11) C(12) N O(2) S	0
N-term	Formyl	Formyl	C O	0
N-term	null	ZGB	H(53) B C(37) N(6) O(6) F(2) S	0
N-term	null	Tween20	H(21) C(12)	0
N-term	null	biotinAcrolein298	H(22) C(13) N(4) O(2) S	0
N-term	null	Dicarbamidomethyl	H(6) C(4) N(2) O(2)	0
N-term	Pyridylacetyl	Pyridylacetyl	H(5) C(7) N O	0
N-term	NHS-LC-Biotin	NHS-LC-Biotin	H(25) C(16) N(3) O(3) S	0
N-term	null	Brij35	H(24) C(12)	0
N-term	C8-QAT	C8-QAT	H(29) C(14) N O	0
N-term	null	Iodoacetanilide	H(7) C(8) N O	0
N-term	null	3sulfo	H(4) C(7) O(4) S	0
N-term	Diisopropylphosphate	Diisopropylphosphate	H(13) C(6) O(3) P	0
N-term	null	TMPP-Ac	H(33) C(29) O(10) P	0
N-term	Carbamyl	Carbamyl	H C N O	0
N-term	Propionyl	Propionyl	H(4) C(3) O	0
N-term	null	Xlink:DMP-de	H(12) C(7) N(2) O	0
N-term	PyMIC	PyMIC	H(6) C(7) N(2) O	0
N-term	null	Triton	H(20) C(14)	0
N-term	null	Xlink:EGS115	H(5) C(4) N O(3)	0
N-term	CAMthiopropanoyl	CAMthiopropanoyl	H(7) C(5) N O(2) S	0
N-term	null	CarboxymethylDMAP	H(10) C(9) N(2) O	0
N-term	Piperidine	Piperidine	H(8) C(5)	0
N-term	Propionamide	Propionamide	H(5) C(3) N O	0
N-term	null	TMT	H(20) C(12) N(2) O(2)	0
A	null	MurNAc	O(-1) NeuAc	0
A	Trimethyl	Trimethyl	H(6) C(3)	0
A	HNE	HNE	H(16) C(9) O(2)	0
A	null	Dap-DSP	H(16) C(13) N(2) O(4) S(2)	0
A	Fluoro	Fluoro	H(-1) F	0
C	null	HCysteinyl	H(7) C(4) N O(2) S	0
C	null	SulfurDioxide	O(2) S	0
C	null	Dimethylaminoethyl	H(9) C(4) N	0
C	null	AROD	H(52) C(35) N(10) O(9) S(2)	0
C	Hydroxyfarnesyl	Hydroxyfarnesyl	H(24) C(15) O	0
C	Propionamide	Propionamide	H(5) C(3) N O	0
C	FMNH	FMNH	H(19) C(17) N(4) O(9) P	0
C	null	Biotin:Sigma-B1267	H(27) C(20) N(5) O(5) S	0
C	null	DNCB_hapten	H(2) C(6) N(2) O(4)	0
C	MolybdopterinGD	MolybdopterinGD	H(47) C(40) N(20) O(26) P(4) S(4) Mo	0
C	Biotin-HPDP	Biotin-HPDP	H(32) C(19) N(4) O(3) S(2)	0
C	null	cGMP	H(10) C(10) N(5) O(7) P	0
C	Molybdopterin	Molybdopterin	H(11) C(10) N(5) O(8) P S(2) Mo	0
C	null	DTT_C	H(8) C(4) O(2) S	0
C	null	Biotin:Thermo-21901+H2O	H(37) C(23) N(5) O(8) S	0
C	CuSMo	CuSMo	H(24) C(19) N(8) O(15) P(2) S(3) Cu Mo	0
C	ADP-Ribosyl	ADP-Ribosyl	H(13) C(10) N(5) O(9) P(2) Pent	0
C	null	Thiazolidine	C	0
C	null	Iodoacetanilide	H(7) C(8) N O	0
C	Cyano	Cyano	H(-1) C N	0
C	Cys->Dha	Cys->Dha	H(-2) S(-1)	0
